"","labID","genos","missing"
"262","z0203264",43,142
"263","z0203265",169,16
"264","z0203265b",63,122
"265","z0203266",41,144
"266","z0203267",70,115
"267","z0203267b",10,175
"268","z0203269",23,162
"269","z0203270",95,90
"270","z0203271",74,111
"271","z0203272",74,111
"272","z0203273",56,129
"273","z0203274",18,167
"274","z0203275",38,147
"275","z0203276",20,165
"276","z0203276b",42,143
"277","z0203277b",88,97
"278","z0203278",2,183
"279","z0203280",8,177
"280","z0203282",97,88
"281","z0203283",5,180
"282","z0203285",118,67
"283","z0203286",117,68
"284","z0203286b",129,56
"285","z0203287",118,67
"286","z0203288",102,83
"287","z0203289",111,74
"288","z0203291",111,74
"289","z0203292",67,118
"290","z0203293",20,165
"291","z0203294",86,99
"292","z0203297",122,63
"293","z0203298",102,83
"294","z0203298b",151,34
"295","z0203300",86,99
"296","z0203301",91,94
"297","z0203302",99,86
"298","z0203304",91,94
"299","z0203305",133,52
